                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2397,                 4.2585,                 4.2419,                0.00886,                   0.47,                0.08117,                0.02707,                 3.2849,                 3.7911,                 4.1596,               0.000125,               0.000125,               0.000125
                      2,                  3.187,                 4.1094,                  4.188,                 0.0086,                   0.47,                0.04757,                0.02369,                 3.2872,                 3.7813,                 4.1575,              0.0002573,              0.0002573,              0.0002573
                      3,                  3.084,                 3.8512,                 4.1108,                0.00833,                   0.44,                0.02439,                0.01239,                 3.2927,                 3.7701,                 4.1523,             0.00038416,             0.00038416,             0.00038416
                      4,                 3.0475,                 3.6515,                 4.0106,                0.00836,                   0.47,                0.10009,                0.02782,                 3.2983,                 3.7592,                  4.145,             0.00050557,             0.00050557,             0.00050557
                      5,                 2.7662,                 3.4466,                 3.8693,                0.00518,                   0.51,                 0.0935,                0.02632,                  3.295,                 3.5289,                 3.9971,             0.00062154,             0.00062154,             0.00062154
                      6,                 2.5857,                 3.2512,                 3.7411,                0.00558,                   0.52,                0.06912,                0.02184,                 3.2454,                 3.4738,                 3.8526,             0.00073206,             0.00073206,             0.00073206
                      7,                 2.5698,                 3.0769,                 3.6313,                0.00496,                    0.5,                0.04907,                0.01502,                 3.4422,                  3.729,                 4.1376,             0.00083714,             0.00083714,             0.00083714
                      8,                 2.6057,                 3.0548,                 3.4683,                0.00709,                   0.51,                0.04223,                0.01348,                 3.1234,                 3.5901,                 3.7076,             0.00093677,             0.00093677,             0.00093677
                      9,                  2.435,                 2.8478,                 3.3567,                0.00464,                    0.5,                0.07277,                0.01789,                  3.302,                 3.7152,                 3.9938,               0.001031,               0.001031,               0.001031
                     10,                 2.3539,                 2.8513,                   3.26,                0.01002,                   0.74,                0.37185,                0.06973,                 3.4068,                 3.6042,                 4.0752,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.4168,                 2.7199,                 3.1862,                 0.7859,                0.09524,                0.20396,                0.05153,                 2.9685,                 3.4953,                 3.5139,              0.0010025,              0.0010025,              0.0010025
                     12,                    2.3,                 2.5449,                 3.0528,                0.00801,                0.73214,                 0.3218,                0.10866,                 2.8155,                 3.3735,                 3.5433,             0.00097775,             0.00097775,             0.00097775
                     13,                 2.3112,                 2.5153,                 3.0243,                0.65964,                0.33333,                0.35953,                0.16873,                 2.1345,                  2.689,                 2.8379,               0.000953,               0.000953,               0.000953
                     14,                 2.1634,                 2.3545,                  2.896,                0.42978,                0.55083,                0.56085,                0.29724,                 1.9667,                 2.2838,                 2.5863,             0.00092825,             0.00092825,             0.00092825
                     15,                 2.1602,                 2.3973,                 2.8875,                0.44438,                0.85095,                0.69632,                0.38914,                 1.8944,                 2.3849,                  2.467,              0.0009035,              0.0009035,              0.0009035
                     16,                 2.1221,                  2.299,                 2.7865,                0.42242,                 0.7669,                 0.7866,                0.50597,                 1.6096,                 2.6562,                 2.3097,             0.00087875,             0.00087875,             0.00087875
                     17,                 2.0719,                 2.2095,                 2.7478,                0.84308,                0.61614,                0.78166,                0.47764,                 1.6794,                 3.3076,                 2.2751,               0.000854,               0.000854,               0.000854
                     18,                 1.9438,                 2.0501,                 2.6612,                0.61807,                0.84738,                0.77606,                0.47117,                 1.6027,                 1.7069,                 2.4129,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.8768,                  2.037,                 2.6043,                0.66877,                0.80749,                 0.8099,                0.50608,                 1.4783,                 1.2982,                 2.2682,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.8859,                 1.9888,                 2.5601,                0.65595,                0.77461,                0.79432,                0.43948,                 1.7266,                 1.5608,                 2.5545,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.7886,                 1.8716,                 2.4693,                0.74716,                0.86098,                0.82929,                0.54455,                 1.3732,                 1.3249,                 2.1455,               0.000755,               0.000755,               0.000755
                     22,                 1.7396,                  1.777,                 2.4093,                0.66853,                0.71021,                0.75785,                0.49005,                 1.4981,                 1.6273,                 2.2658,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.6821,                 1.6989,                 2.3256,                0.68881,                0.72044,                0.76252,                0.43198,                 1.6873,                 1.7082,                 2.4687,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.6997,                 1.7401,                 2.3336,                0.70296,                0.73278,                0.73181,                0.51086,                 1.4262,                  1.602,                 2.1909,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.6058,                 1.6416,                 2.2621,                0.76433,                0.79813,                0.89401,                0.56519,                  1.288,                   1.38,                 2.0993,               0.000656,               0.000656,               0.000656
                     26,                 1.5329,                 1.5666,                 2.2197,                0.74843,                0.83942,                0.78901,                0.47321,                  1.498,                 1.3738,                 2.1791,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.5463,                 1.5721,                 2.2014,                0.88933,                0.92967,                0.91917,                 0.5828,                  1.251,                 1.1687,                 1.9327,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.6073,                 1.6202,                 2.2619,                 0.7384,                0.80229,                0.80954,                0.50688,                 1.2538,                 1.3129,                 1.8696,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.4147,                 1.3655,                 2.0993,                0.80805,                   0.86,                0.87992,                0.48748,                 1.5243,                 1.1864,                 2.1273,               0.000557,               0.000557,               0.000557
                     30,                 1.4486,                 1.4742,                 2.1479,                0.79314,                0.71618,                0.87546,                0.52418,                 1.4673,                 1.3494,                 2.1634,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.4385,                 1.3908,                 2.0973,                 0.7598,                0.82357,                0.86849,                0.59829,                  1.219,                 1.1825,                  1.928,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.3551,                 1.3437,                 2.0145,                0.85568,                0.87931,                0.91435,                0.62045,                 1.1285,                 1.0916,                 1.8736,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.4208,                 1.4211,                 2.0722,                0.83667,                0.91313,                0.91226,                0.61768,                 1.0897,                 1.1014,                 1.8594,               0.000458,               0.000458,               0.000458
                     34,                 1.3595,                 1.3507,                 2.0358,                0.86381,                   0.92,                0.91638,                0.60819,                 1.2629,                 1.1427,                 2.0111,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.3009,                 1.2751,                 2.0047,                0.87269,                0.87706,                0.93028,                0.65881,                 1.0439,                0.98467,                 1.7575,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.2674,                  1.241,                 1.9389,                0.69666,                0.80472,                0.80715,                0.56683,                 1.1781,                 1.0849,                 1.8142,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.2394,                 1.1852,                 1.8896,                 0.7175,                    0.8,                0.83842,                0.55662,                 1.1955,                 1.0747,                 1.8337,               0.000359,               0.000359,               0.000359
                     38,                 1.2066,                 1.1157,                   1.87,                0.85946,                   0.98,                0.92396,                0.61896,                 1.1663,                 1.0393,                 1.8608,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.1813,                 1.1902,                 1.8477,                0.86588,                0.90604,                0.91744,                0.59944,                 1.1776,                 1.0235,                 1.8306,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.2496,                 1.2017,                 1.8883,                0.92057,                 0.9088,                0.93708,                0.63575,                 1.0393,                0.99089,                 1.6953,             0.00028475,             0.00028475,             0.00028475
                     41,                0.96158,                 1.2439,                 1.6943,                 0.9021,                0.92104,                0.95231,                0.61571,                 1.1884,                 1.0443,                 1.7921,                0.00026,                0.00026,                0.00026
                     42,                0.89455,                 1.1457,                 1.6575,                 0.9116,                0.92074,                0.95241,                0.60974,                  1.174,                 1.0242,                 1.7911,             0.00023525,             0.00023525,             0.00023525
                     43,                0.90185,                 1.1138,                 1.6493,                0.88663,                0.91971,                0.93239,                0.60014,                 1.2133,                 1.0197,                 1.8348,              0.0002105,              0.0002105,              0.0002105
                     44,                0.87806,                 1.0895,                 1.6099,                0.92977,                   0.91,                0.93695,                0.58997,                 1.1981,                0.97478,                  1.817,             0.00018575,             0.00018575,             0.00018575
                     45,                0.81203,                 1.0296,                 1.5645,                0.92629,                    0.9,                0.94063,                0.62099,                 1.0989,                0.91666,                 1.7286,               0.000161,               0.000161,               0.000161
                     46,                0.84681,                0.98805,                 1.5973,                0.87977,                 0.9112,                0.93705,                 0.6332,                 1.0477,                0.89788,                 1.6686,             0.00013625,             0.00013625,             0.00013625
                     47,                0.83623,                 1.0056,                 1.5844,                0.91171,                   0.94,                0.94313,                0.66797,                0.99119,                0.88075,                 1.6154,              0.0001115,              0.0001115,              0.0001115
                     48,                0.80935,                 1.0287,                 1.5916,                0.87268,                0.94851,                0.94237,                0.66757,                0.98015,                 0.9113,                 1.6159,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.74385,                0.94799,                 1.5225,                0.87674,                   0.96,                0.94125,                0.66982,                0.97837,                0.90585,                 1.6194,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.72669,                0.94218,                 1.4966,                 0.8834,                   0.96,                0.94408,                0.68121,                0.96687,                0.89461,                 1.6159,              3.725e-05,              3.725e-05,              3.725e-05
